c0_svm_stage1_stack,c1_svm_stage1_stack,c2_svm_stage1_stack
0.7794289089734965,0.20914087913684615,0.011430211889657404
0.4392375786450893,0.062045005155162085,0.4987174161997486
0.2727373343134186,0.040887224120004624,0.6863754415665768
0.28569777605948193,0.04129690512548044,0.6730053188150377
0.7171387783603385,0.22172312452431078,0.061138097115350926
0.9780963978046017,0.02060996981120268,0.001293632384195681
0.9709111972065091,0.008917894213848877,0.020170908579641822
0.980188872226886,0.018678746475438938,0.0011323812976751114
0.2351789180035004,0.010991275871072645,0.753829806125427
0.9322471385705456,0.06572066372063734,0.0020321977088168623
0.9278763001049135,0.07007892090180406,0.002044778993282448
0.9333130855027044,0.06466224208322033,0.0020246724140752575
0.414411186745791,0.01467170118879688,0.570917112065412
0.4196451541477883,0.01327877319859727,0.5670760726536144
0.9839170910534976,0.015239956481581655,0.000842952464920776
0.4816948332093374,0.10687371610659151,0.41143145068407116
0.5805897705032579,0.11484570908750526,0.3045645204092367
0.5496004206719622,0.10619712928156545,0.34420245004647243
0.35253364404747983,0.15128466395671683,0.4961816919958033
0.4152053377876566,0.1995435378500544,0.38525112436228887
0.9878307904778638,0.01138014478570469,0.0007890647364315384
0.9844647056332322,0.014506414899565548,0.001028879467202231
0.6300260841535277,0.23421355538445807,0.13576036046201415
0.5446084323057488,0.22086065176304343,0.23453091593120773
0.4116369887098515,0.0356121011498234,0.5527509101403251
0.36358546788438206,0.013615562828951001,0.6227989692866668
0.27639276608056906,0.6370419133785539,0.08656532054087712
0.6323654468086515,0.3621724593957593,0.005462093795589327
0.25202706192883967,0.7028089477606838,0.04516399031047662
0.9894903025810505,0.009951967269954136,0.0005577301489954965
0.9653279063126542,0.00772769867383569,0.0269443950135102
0.7747666163196184,0.20706076934103737,0.018172614339344268
0.7879248484120821,0.20163355672130423,0.01044159486661374
0.9048198716847041,0.09131337543751648,0.003866752877779452
0.976809755122883,0.006454316209948357,0.016735928667168606
0.9744695626628109,0.02264937426690315,0.002881063070285916
0.9510487268318653,0.0463114324020942,0.00263984076604069
0.7883720664654188,0.20344496097436623,0.008182972560215057
0.9846022687868764,0.014370156240188758,0.001027574972934887
0.8719845119395666,0.1226384549847606,0.005377033075672922
0.9627573474711733,0.006183308041107953,0.03105934448771886
0.7413268619204119,0.25477773442626545,0.0038954036533225657
0.7665747007282853,0.22941906097090456,0.004006238300810256
0.9704400196454807,0.01008080329705307,0.019479177057466306
0.978251568849241,0.009918668677692352,0.011829762473066673
0.9783559913659472,0.009704281743546166,0.01193972689050657
0.7643937633587404,0.05255247942425631,0.18305375721700332
0.7728504423833082,0.05165591512024395,0.17549364249644786
0.7482897208339991,0.05530906291052278,0.19640121625547804
0.8106564470562057,0.06791277306146049,0.12143077988233396
0.8686569952861828,0.12737972384107313,0.00396328087274394
0.9352965152271474,0.061477123198835054,0.0032263615740176013
0.9316134137322151,0.06543670469588539,0.0029498815718995266
0.9369263430386277,0.05986253390541625,0.003211123055956109
0.9683782543177639,0.009796614693742189,0.021825130988493844
0.8660187565158258,0.13164910096834853,0.002332142515825825
0.8689073312676524,0.12856894498242247,0.0025237237499251054
0.8866084586544407,0.11072682333988618,0.002664718005673058
0.8719286905405252,0.12466423114558922,0.003407078313885441
