c0_rf_stage1_stack,c1_rf_stage1_stack,c2_rf_stage1_stack
0.8812666666666665,0.11273333333333331,0.006
0.8325666666666667,0.1674333333333333,0.0
0.6513666666666666,0.3486333333333333,0.0
0.9119833333333335,0.08801666666666666,0.0
0.6138619047619048,0.2449047619047619,0.1412333333333333
0.6274333333333332,0.033833333333333326,0.3387333333333334
0.99,0.004,0.006
0.33219999999999994,0.6330333333333334,0.03476666666666667
0.7525809523809524,0.16935238095238095,0.07806666666666665
0.7742999999999999,0.1942,0.03149999999999999
0.988,0.002,0.01
1.0,0.0,0.0
1.0,0.0,0.0
0.8185190476190478,0.0,0.18148095238095238
0.8108666666666666,0.0,0.18913333333333332
0.2778500000000001,0.002,0.7201500000000001
0.21673333333333342,0.0,0.7832666666666666
0.5124666666666667,0.0,0.48753333333333343
0.25101666666666667,0.002,0.7469833333333332
0.3346666666666666,0.6653333333333332,0.0
0.6440619047619045,0.3519380952380951,0.004
0.8972428571428571,0.10275714285714287,0.0
0.23216666666666666,0.7678333333333333,0.0
0.29486666666666667,0.7051333333333334,0.0
0.47230000000000005,0.5277000000000001,0.0
1.0,0.0,0.0
0.5345428571428574,0.003333333333333333,0.4621238095238094
0.5343428571428573,0.004833333333333333,0.46082380952380936
0.9778000000000001,0.0222,0.0
0.12250000000000001,0.0,0.8775
0.9872000000000001,0.0,0.0128
0.9945,0.0055,0.0
0.9861333333333333,0.013866666666666666,0.0
0.7607,0.23930000000000004,0.0
0.998,0.0,0.002
0.996,0.0,0.004
0.8518333333333333,0.11583333333333333,0.03233333333333334
0.7180666666666669,0.28193333333333337,0.0
0.1743809523809524,0.03730952380952381,0.7883095238095239
0.978,0.0,0.022
0.9951333333333333,0.0024,0.0024666666666666665
0.33636666666666665,0.6636333333333333,0.0
0.26333333333333336,0.7366666666666667,0.0
0.7574333333333337,0.24256666666666665,0.0
0.6963,0.30369999999999997,0.0
0.6505142857142857,0.0,0.3494857142857142
0.11953333333333332,0.005,0.8754666666666667
0.5263499999999999,0.004333333333333333,0.46931666666666666
0.9426666666666667,0.057333333333333326,0.0
0.7621,0.23189999999999997,0.006
0.7286904761904761,0.27130952380952367,0.0
0.9628666666666666,0.03713333333333333,0.0
0.9873333333333333,0.008666666666666666,0.004
0.9786666666666668,0.002,0.019333333333333334
0.9140571428571429,0.06684285714285716,0.0191
0.9993333333333333,0.0,0.0006666666666666666
0.969,0.031,0.0
0.969,0.031,0.0
0.9498000000000001,0.01923333333333333,0.03096666666666667
0.17351666666666668,0.04504999999999999,0.7814333333333333
0.20781666666666662,0.010916666666666665,0.7812666666666669
1.0,0.0,0.0
0.9943333333333334,0.005666666666666667,0.0
0.3196428571428571,0.0,0.6803571428571429
0.2919333333333333,0.0,0.7080666666666666
0.04873333333333334,0.7411666666666668,0.2101
0.7687999999999999,0.21419999999999997,0.017
0.9966666666666666,0.0013333333333333333,0.002
0.9966666666666666,0.0013333333333333333,0.002
0.9956666666666666,0.0,0.004333333333333333
0.992,0.0,0.008
0.018866666666666667,0.48141190476190493,0.49972142857142854
0.05511666666666666,0.535164285714286,0.40971904761904765
0.05667142857142857,0.15047619047619046,0.7928523809523811
0.20930000000000004,0.07080000000000002,0.7198999999999999
0.6046999999999998,0.3913000000000002,0.004
0.9760333333333334,0.02396666666666667,0.0
0.30998333333333333,0.6900166666666666,0.0
0.12346666666666667,0.8765333333333333,0.0
0.08583333333333333,0.9141666666666667,0.0
0.9163952380952379,0.08310476190476188,0.0005
0.9884666666666667,0.011533333333333331,0.0
0.9676666666666666,0.03233333333333334,0.0
0.8875761904761905,0.11242380952380952,0.0
0.9963333333333334,0.002,0.0016666666666666666
0.8149333333333334,0.18506666666666666,0.0
0.9650000000000001,0.035,0.0
0.9686666666666668,0.03133333333333333,0.0
0.9836666666666667,0.016333333333333335,0.0
0.9656666666666667,0.03233333333333334,0.002
0.294,0.706,0.0
0.7045500000000001,0.05633333333333333,0.23911666666666664
