x,y,z,c,g,c_range,g_range
124222.7188,577086.8125,1917.7485350000002,0.177567676,-0.003625979,1,1
125555.6797,575904.8125,1554.842285,0.241104588,-0.003626238,2,1
125555.6797,575914.875,1554.842285,0.241104588,-0.003626238,2,1
125585.75,575954.9375,1554.842285,0.241104588,-0.003626238,2,1
125425.3906,576065.125,1575.0036619999998,0.238154382,-0.0036263790000000003,2,1
125425.3906,576075.125,1575.0036619999998,0.238154382,-0.0036263790000000003,2,1
124363.0313,576355.5625,2028.636597,0.146376371,-0.0036266540000000004,1,1
124363.0313,576345.5625,2038.7172850000002,0.146376371,-0.0036266540000000004,1,1
125545.6563,576395.6875,1514.5192869999998,0.252234846,-0.0036272970000000002,2,1
125545.6563,576405.6875,1514.5192869999998,0.252234846,-0.0036272970000000002,2,1
125916.4844,575654.4375,1423.792725,0.239594594,-0.003627665,2,1
125746.1016,576005.0,1403.6313480000001,0.25022974600000003,-0.003628268,2,1
125214.9219,574993.3125,1575.0036619999998,0.200633287,-0.003628363,2,1
123721.6016,575404.0,2018.555786,0.211171165,-0.003628518,2,1
125214.9219,574993.3125,1534.680786,0.202999905,-0.00362899,2,1
124252.7813,578128.5625,1978.2329100000002,0.210593417,-0.003629104,2,1
125916.4844,575654.4375,1322.985474,0.240945607,-0.003629973,2,1
125144.7656,576245.4375,1655.649536,0.222200394,-0.00363128,2,1
125124.7188,576225.375,1665.730225,0.222200394,-0.00363128,2,1
123451.0,575444.0625,2008.4750980000001,0.223556206,-0.003631368,2,1
125966.5938,575814.6875,1262.501099,0.247212693,-0.003631567,2,1
125255.0078,577056.75,1665.730225,0.233738422,-0.003631676,2,1
125134.7422,575784.625,1806.8604739999998,0.209991693,-0.003632153,2,1
125134.7422,576245.4375,1675.811035,0.22078225,-0.0036322359999999996,2,1
124363.0313,576255.4375,2079.040039,0.154440746,-0.0036325859999999997,1,1
125084.6328,576275.4375,1685.8917239999998,0.21878409399999998,-0.003633035,2,1
125916.4844,575654.4375,1312.904663,0.24110651,-0.003633037,2,1
124703.7891,575614.375,1847.183472,0.188152745,-0.0036331270000000003,1,1
124723.8281,575614.375,1847.183472,0.188152745,-0.0036331270000000003,1,1
125776.1719,576115.1875,1322.985474,0.255499154,-0.0036336259999999996,2,1
125896.4375,576475.8125,1242.3396,0.263943851,-0.003633736,2,1
125906.4609,576485.8125,1252.420288,0.263943851,-0.003633736,2,1
125645.8828,575884.8125,1564.922974,0.240616634,-0.0036338359999999997,2,1
125655.8984,575884.8125,1564.922974,0.240616634,-0.0036338359999999997,2,1
125645.8828,575894.8125,1564.922974,0.240616634,-0.0036338359999999997,2,1
125655.8984,575894.8125,1564.922974,0.240616634,-0.0036338359999999997,2,1
123461.0234,575444.0625,2008.4750980000001,0.22531145800000002,-0.003633883,2,1
123461.0234,575454.0625,2008.4750980000001,0.22531145800000002,-0.003633883,2,1
123471.0469,575454.0625,2008.4750980000001,0.22531145800000002,-0.003633883,2,1
123481.0703,575454.0625,2008.4750980000001,0.22531145800000002,-0.003633883,2,1
125936.5234,575934.875,1121.37085,0.254561007,-0.003635262,2,1
124653.6719,575964.9375,1857.2641600000002,0.178988323,-0.0036353509999999998,1,1
124653.6719,575974.9375,1857.2641600000002,0.178988323,-0.0036353509999999998,1,1
124663.6953,575974.9375,1857.2641600000002,0.178988323,-0.0036353509999999998,1,1
124663.6953,575985.0,1857.2641600000002,0.178988323,-0.0036353509999999998,1,1
124733.8516,576175.3125,1867.3448489999998,0.184883595,-0.003635505,1,1
124743.875,576185.3125,1867.3448489999998,0.184883595,-0.003635505,1,1
124182.625,578539.25,1978.2329100000002,0.208613873,-0.0036355890000000003,2,1
125726.0547,575854.75,1454.035034,0.24563294600000002,-0.003635887,2,1
125555.6797,575904.8125,1564.922974,0.24140951,-0.0036358909999999996,2,1
125555.6797,575914.875,1564.922974,0.24140951,-0.0036358909999999996,2,1
125585.75,575954.9375,1564.922974,0.24140951,-0.0036358909999999996,2,1
125214.9219,574993.3125,1514.5192869999998,0.204406902,-0.003636424,2,1
125916.4844,575654.4375,1393.5505369999998,0.24030908899999998,-0.003636431,2,1
125706.0156,576245.4375,1353.227661,0.257501304,-0.003636623,2,1
125706.0156,576255.4375,1353.227661,0.257501304,-0.003636623,2,1
125114.7031,576215.375,1695.972534,0.218231335,-0.0036366420000000003,2,1
125084.6328,576265.4375,1695.972534,0.218231335,-0.0036366420000000003,2,1
125104.6797,576205.3125,1706.0531010000002,0.218231335,-0.0036366420000000003,2,1
125074.6094,576245.4375,1706.0531010000002,0.218231335,-0.0036366420000000003,2,1
124583.5156,575884.8125,1867.3448489999998,0.17629474399999998,-0.003637333,1,1
124583.5156,575894.8125,1867.3448489999998,0.17629474399999998,-0.003637333,1,1
124032.2969,577938.25,1837.102661,0.233876958,-0.003637407,2,1
125786.1875,575854.75,1383.469849,0.247904569,-0.003637591,2,1
125786.1875,575864.75,1383.469849,0.247904569,-0.003637591,2,1
124473.2734,575373.9375,1897.587036,0.187361687,-0.003637965,1,1
124493.3203,575394.0,1897.587036,0.187361687,-0.003637965,1,1
124503.3438,575394.0,1897.587036,0.187361687,-0.003637965,1,1
