c0_nn_stage1_stack,c1_nn_stage1_stack,c2_nn_stage1_stack
0.9999995231628418,5.200609507483023e-07,1.959633651885428e-19
0.9962742328643799,0.00372576666995883,3.4670891158050665e-10
0.9999969005584717,3.1563356515107444e-06,2.1202050460393873e-27
1.0,5.782570156043221e-08,2.187954062026748e-22
0.9999990463256836,9.28064707750309e-07,4.7500222083959586e-32
0.45464614033699036,0.45742562413215637,0.08792814612388611
0.9999998807907104,1.0409468131911126e-07,1.1401300387818132e-21
0.5327907204627991,0.3948054611682892,0.07240384072065353
0.9999997615814209,1.9861447242419672e-07,1.0332881374417304e-28
0.9999977350234985,2.242939672214561e-06,1.03473661355426e-30
0.9999885559082031,1.1462971997389104e-05,2.5162782535074817e-19
0.9999997615814209,2.0134278599925892e-07,0.0
0.9999994039535522,5.588038902715198e-07,4.185545154165976e-36
0.6193410754203796,0.3805559575557709,0.00010295613174093887
1.0,7.764663044473874e-12,0.0
0.9999997615814209,1.9482475011045608e-07,1.104784043803439e-25
0.9817007184028625,0.01829926297068596,2.2464347819006053e-13
0.9999988079071045,1.1887458413184504e-06,2.2253463552989194e-33
0.9999969005584717,3.157690343869035e-06,2.0627419987350786e-26
0.9998779296875,0.00012211113062221557,3.587998477344714e-17
0.9999390840530396,6.093658157624304e-05,9.712628736801207e-21
0.9999997615814209,2.389812436831562e-07,1.4957166378563884e-25
0.9999998807907104,1.2449595487851184e-07,5.350045571531274e-22
0.9999994039535522,5.921901333749702e-07,1.6293533579900752e-19
0.9999998807907104,8.053086020254341e-08,7.516960689324644e-38
0.4275642931461334,0.4048984944820404,0.1675371676683426
0.9984604120254517,0.0015395639929920435,2.498214490085702e-17
0.9995740056037903,0.00042595723061822355,1.628569601257754e-16
1.0,2.343291142722914e-12,0.0
1.0,3.45937749557379e-08,2.560395379530285e-32
0.9999922513961792,7.708537850703578e-06,1.836070128141741e-23
0.999994158744812,5.821429112984333e-06,1.3812640878210091e-24
0.9761033654212952,0.021897386759519577,0.001999187981709838
0.9999871253967285,1.287598570343107e-05,1.9256310276353077e-21
0.9999961853027344,3.855440354527673e-06,1.3677333237075287e-25
0.9999679327011108,3.203247979399748e-05,1.0031329374857359e-27
1.0,1.0515761574231633e-13,0.0
0.9999985694885254,1.4389748912435607e-06,1.1669853564015665e-25
0.9992274045944214,0.00077264872379601,5.972473839902656e-21
0.9966103434562683,0.0033896397799253464,2.0595186566481626e-16
0.7137678265571594,0.28612735867500305,0.00010486644168850034
1.0,1.783990732917573e-09,4.516888764786076e-31
1.0,3.946556415002078e-10,0.0
1.0,5.66731594986436e-09,0.0
0.9999963045120239,3.66122594641638e-06,2.322008869770621e-25
0.9869007468223572,0.013099201954901218,3.068460538283892e-14
0.999997615814209,2.436285512885661e-06,2.022368419283658e-33
1.0,4.143733411954287e-10,0.0
0.9964795708656311,0.0035204750020056963,9.010491192149722e-14
0.9999998807907104,6.388670215073944e-08,2.202661460982772e-35
0.9999926090240479,7.447542429872556e-06,5.39858636817423e-25
0.9999998807907104,7.260759815608253e-08,1.607833322644416e-38
0.9999998807907104,6.338965619079318e-08,1.841008094743719e-30
0.997860848903656,0.002139172051101923,1.0599010122957378e-17
0.9131537079811096,0.08684634417295456,4.3243073122312126e-08
0.897886335849762,0.10211372375488281,3.8970546789585114e-09
0.9436872601509094,0.056312669068574905,1.625348466927079e-10
0.6534802913665771,0.3461292088031769,0.00039048134931363165
0.9998570680618286,0.00014296171138994396,4.627459988536177e-21
1.0,1.1235596897307687e-09,0.0
0.9999949932098389,5.01178010381409e-06,4.6687214079744434e-29
0.9999998807907104,1.6128160496009514e-07,3.630505538028755e-29
0.3868361711502075,0.4817100167274475,0.13145387172698975
0.595440685749054,0.4044414460659027,0.00011785205424530432
0.9928557872772217,0.00714423693716526,2.3658102861197176e-14
0.9999991655349731,7.945520792418392e-07,7.579872244189409e-23
1.0,5.674705930852619e-12,0.0
0.9999998807907104,7.24168742749498e-08,2.0703817431823835e-31
0.9999995231628418,4.199481509203906e-07,4.695709395258225e-38
0.9999973773956299,2.672224127309164e-06,9.27919703219658e-26
0.7917060256004333,0.2068677544593811,0.0014262093463912606
0.5967410802841187,0.40185806155204773,0.0014008665457367897
0.9993196725845337,0.0006802994757890701,2.699313512089796e-17
0.999112069606781,0.0006465937476605177,0.00024136269348673522
0.9992184638977051,0.0005859345546923578,0.00019560127111617476
0.9966844916343689,0.0014123203000053763,0.0019031671108677983
0.9990642666816711,0.0006953856791369617,0.000240367793594487
0.9982738494873047,0.00074479024624452,0.0009813607903197408
1.0,2.046324047710879e-12,0.0
0.9234629273414612,0.07630938291549683,0.0002276996528962627
0.9589518904685974,0.04088249430060387,0.00016563797544222325
0.9892095923423767,0.010790470987558365,1.7979706265491835e-11
0.9992546439170837,0.0007453027064912021,6.147308527473583e-17
0.999998927116394,1.0148933142772876e-06,2.398667852858314e-18
0.9999994039535522,6.550935154336912e-07,8.223814539765992e-26
0.3325371742248535,0.4807845652103424,0.1866782009601593
0.3285181224346161,0.4836767017841339,0.1878051459789276
0.549946665763855,0.30224981904029846,0.14780353009700775
0.9999990463256836,9.453534630665672e-07,3.0610210390860747e-34
0.9999939203262329,6.069889423088171e-06,2.7919685800843666e-29
1.0,1.9820445285034793e-09,0.0
0.9999997615814209,2.2668427845928818e-07,1.1175726013694886e-32
1.0,9.307338233455198e-10,2.7521347853043117e-26
0.9999939203262329,6.0707229749823455e-06,1.9806391442152592e-23
0.9999982118606567,1.741971345836646e-06,1.5870237631839223e-27
0.9999264478683472,7.356825517490506e-05,2.8063502370917573e-25
0.999907374382019,9.260515071218833e-05,1.1754419065724653e-20
0.9999991655349731,8.803801847534487e-07,1.6995415016563828e-26
0.9999998807907104,1.7590178913451382e-07,1.4049544592214438e-28
0.9997162222862244,0.00028378728893585503,1.0089609769347338e-15
0.5715543031692505,0.4259651303291321,0.002480573020875454
